_id,geometry.coordinates,geometry.type,properties.description,properties.id,properties.name,properties.parent_station,properties.route_id,properties.route_variante_id,properties.wheelchair_boarding,type
615615f357da3ca0b096940c,"[6.048351287841797,47.26115798950195]",Point,,st_charigney,Charigney,,,,unknown,Feature
615615f357da3ca0b096940d,"[6.028158664703369,47.24568176269531]",Point,,st_flore,Flore,,,,unknown,Feature
615615f357da3ca0b096940e,"[5.99554,47.243668]",Point,,STMARTI1,St Martin,st_st_martin,9,5-4,available,Feature
615615f357da3ca0b096940f,"[6.006947,47.258205]",Point,,CHEFOUN1,Chemin des Founottes,st_chemin_des_founottes,12,24-1,unknown,Feature
615615f357da3ca0b0969410,"[6.030375003814697,47.272674560546875]",Point,,st_montarmots,Montarmots,,,,unknown,Feature
615615f357da3ca0b0969411,"[5.984648704528809,47.23502731323242]",Point,,st_lavoisier,Lavoisier,,,,unknown,Feature
615615f357da3ca0b0969412,"[6.002034,47.232517]",Point,,JEANJAU1,Jean Jaurès,st_jean_jaures,4,116-4,available,Feature
615615f357da3ca0b0969413,"[6.020035,47.233418]",Point,,CHAMARS1,Chamars,st_chamars,9,5-4,available,Feature
615615f357da3ca0b0969414,"[6.041244983673096,47.24266815185547]",Point,,st_gaiffe,Gaiffe,,,,available,Feature
615615f357da3ca0b0969415,"[5.986128,47.243263]",Point,,PAPIN4,Papin,st_papin,7,63-4,unknown,Feature
615615f357da3ca0b0969416,"[6.0555524826049805,47.263389587402344]",Point,,st_chalezeule__marnieres,Chalezeule - Marnières,,,,available,Feature
615615f357da3ca0b0969417,"[6.020109176635742,47.2470817565918]",Point,,st_gare_viotte_nord,Gare Viotte Nord,,,,available,Feature
615615f357da3ca0b0969418,"[6.033674,47.24595]",Point,,t_farg2,Fontaine Argent,st_fontaine_argent,101,15-1,available,Feature
615615f357da3ca0b0969419,"[5.961896,47.215397]",Point,,DEVIGNY2,De Vigny,st_de_vigny,4,116-1,available,Feature
615615f357da3ca0b096941a,"[6.008686,47.269123]",Point,,ECOLETO1,Ecole des Torcols,st_ecole_des_torcols,8,45-2,unknown,Feature
615615f357da3ca0b096941b,"[5.998152,47.23164]",Point,,RESIDEN2,Résidence,st_residence,4,116-1,unknown,Feature
615615f357da3ca0b096941c,"[6.026186943054199,47.23945617675781]",Point,,st_poste,Poste,,,,available,Feature
615615f357da3ca0b096941d,"[6.026047229766846,47.23626708984375]",Point,,st_carmes,Carmes,,,,available,Feature
615615f357da3ca0b096941e,"[6.000518798828125,47.250816345214844]",Point,,st_pole_sportif,Pôle Sportif,,,,unknown,Feature
615615f357da3ca0b096941f,"[6.005743980407715,47.22846984863281]",Point,,st_brulard,Brulard,,,,available,Feature
615615f357da3ca0b0969420,"[6.028376579284668,47.25715637207031]",Point,,st_fluttes_agasses,Fluttes Agasses,,,,unknown,Feature
615615f357da3ca0b0969421,"[6.032745361328125,47.23799133300781]",Point,,st_pont_de_bregille,Pont de Bregille,,,,unknown,Feature
615615f357da3ca0b0969422,"[6.0422015,47.257374]",Point,,t_cdp1,Croix de Palente,st_croix_de_palente,101,15-0,available,Feature
615615f357da3ca0b0969423,"[5.949156,47.215794]",Point,,CHATEAU1,Châteaufarine,st_chateaufarine,4,116-4,available,Feature
615615f357da3ca0b0969424,"[5.994396,47.230595]",Point,,BASC1,Bascule,st_bascule,4,116-4,available,Feature
615615f357da3ca0b0969425,"[6.029688,47.234978]",Point,,VICHUGO1,Victor Hugo,st_victor_hugo,27,49-2,available,Feature
615615f357da3ca0b0969426,"[6.015066146850586,47.23769760131836]",Point,,st_janvier,Janvier,,,,available,Feature
615615f357da3ca0b0969427,"[6.046761,47.26656]",Point,,COLPROU1,Collège Proudhon,st_college_proudhon,11,55-1,unknown,Feature
615615f357da3ca0b0969428,"[6.028132,47.269455]",Point,,CHESELL2,Chemin de la Selle,st_chemin_de_la_selle,12,24-2,unknown,Feature
615615f357da3ca0b0969429,"[5.963475,47.21982]",Point,,VIVARAI2,Vivarais,st_vivarais,7,63-5,available,Feature
615615f357da3ca0b096942a,"[6.043374,47.248276]",Point,,DUET1,Duet,st_duet,5,109-2,available,Feature
615615f357da3ca0b096942b,"[6.047121,47.24885]",Point,,MAGELLA1,Magellan,st_magellan,5,109-2,unknown,Feature
615615f357da3ca0b096942c,"[6.027457237243652,47.26641845703125]",Point,,st_vallon_du_jour,Vallon du Jour,,,,unknown,Feature
615615f357da3ca0b096942d,"[5.988883018493652,47.233055114746094]",Point,,st_basilique,Basilique,,,,unknown,Feature
615615f357da3ca0b096942e,"[6.028896808624268,47.23638153076172]",Point,,st_jean_cornet,Jean Cornet,,,,available,Feature
615615f357da3ca0b096942f,"[5.994995,47.224987]",Point,,t_rose2,Rosemont,st_rosemont,101,15-1,available,Feature
615615f357da3ca0b0969430,"[6.01442,47.24162]",Point,,JULEHAG4,Lycée Jules Haag,st_lycee_jules_haag,6,155-2,available,Feature
615615f357da3ca0b0969431,"[5.971709,47.212135]",Point,,LAFAYET1,La Fayette,st_la_fayette,7,63-4,available,Feature
615615f357da3ca0b0969432,"[6.027482,47.263958]",Point,,CARRIER2,Carrière,st_carriere,12,24-2,unknown,Feature
615615f357da3ca0b0969433,"[6.053614139556885,47.229652404785156]",Point,,st_pres_de_vaux,Prés de Vaux,,,,unknown,Feature
615615f357da3ca0b0969434,"[6.014594078063965,47.237239837646484]",Point,,st_oudet,Oudet,,,,available,Feature
615615f357da3ca0b0969435,"[6.0210466384887695,47.24250411987305]",Point,,st_bacchus,Bacchus,,,,unknown,Feature
615615f357da3ca0b0969436,"[6.012372970581055,47.26511764526367]",Point,,st_quatrouillots,Quatrouillots,,,,unknown,Feature
615615f357da3ca0b0969437,"[6.0421796,47.249786]",Point,,t_brule2,Brûlefoin,st_brulefoin,101,15-1,available,Feature
615615f357da3ca0b0969438,"[6.028145,47.246075]",Point,,FLORE2,Flore,st_flore,11,55-0,unknown,Feature
615615f357da3ca0b0969439,"[5.998833,47.236378]",Point,,CENTTRI2,Centre de Tri,st_centre_de_tri,10,88-4,unknown,Feature
615615f357da3ca0b096943a,"[6.035137,47.245487]",Point,,LYSPAUL2,Lycée St Paul,st_lycee_st_paul,5,109-3,available,Feature
615615f357da3ca0b096943b,"[5.95185,47.218273]",Point,,RENECHA2,René Char,st_rene_char,4,116-1,unknown,Feature
615615f357da3ca0b096943c,"[6.044595,47.26349]",Point,,LYCEE2,Lycée Pergaud,st_lycee_pergaud,7,63-4,available,Feature
615615f357da3ca0b096943d,"[6.001526832580566,47.23243713378906]",Point,,st_jean_jaures,Jean Jaurès,,,,available,Feature
615615f357da3ca0b096943e,"[5.97854,47.243584]",Point,,BAVEREZ2,Baverez,st_baverez,9,5-2,unknown,Feature
615615f357da3ca0b096943f,"[6.044087,47.26353]",Point,,LYCEE3,Lycée Pergaud,st_lycee_pergaud,7,63-5,available,Feature
